group,num_trucks,num_drones,truck_distance,drone_distance,total_distance,truck_time,drone_time,overall_time,truck_travel_cost,drone_travel_cost,travel_cost,fixed_cost,total_cost,efficiency,solver_status,solver_gap,solver_runtime_s,solver_bound,fixed_time_per,overall_time_per_mode,efficiency_per_mode
UAVRP,0,10,0,17.65065725529432,17.65065725529432,0.0,57.65065725529432,57.65065725529432,0.0,17.65065725529432,17.65065725529432,250.0,267.65065725529433,58.142184031482415,TIME_LIMIT,0.027827155893848002,901.0090000629425,56.524252412429554,vehicle,21.65065725529432,55.26218403148242
CVRP,5,0,13.840811984652063,0,13.840811984652063,66.52243595395619,0.0,66.52243595395619,11.072649587721651,0.0,11.072649587721651,250.0,261.0726495877216,57.53632479386082,OPTIMAL,0.009327365802182505,1.4580001831054688,56.999662445595305,vehicle,46.52243595395619,55.93632479386082
VRPD,4,2,11.12173492615743,3.5990912475159087,14.720826173673338,53.36520477847229,11.599091247515908,53.36520477847229,8.897387940925944,3.5990912475159087,12.496479188441853,250.0,262.49647918844187,56.76851221996616,TIME_LIMIT,0.04912685646908408,1801.037999868393,53.97965366817243,vehicle,38.36520477847229,55.568512219966166
